order_date,category,region,net_revenue,order_count,units_sold,aov
2024-01-01,Accessories,South,49.95,1,1,49.95
2024-01-01,Electronics,East,74.97,2,3,37.49
2024-01-01,Electronics,West,2287.90,3,12,762.63
2024-01-01,Home & Office,West,29.99,1,1,29.99
2024-01-01,Kitchen,East,36.00,1,3,36.00
2024-01-01,Kitchen,South,30.00,1,4,30.00
2024-01-01,Stationery,North,21.00,2,6,10.50
2024-01-01,Unknown,East,30.00,1,2,30.00
2024-01-02,Accessories,West,49.95,1,1,49.95
2024-01-02,Electronics,East,74.97,1,3,74.97
2024-01-02,Electronics,North,44.95,1,5,44.95
2024-01-02,Electronics,West,-1099.00,1,-1,-1099.00
2024-01-02,Kitchen,South,24.00,1,2,24.00
2024-01-02,Kitchen,West,22.50,1,3,22.50
2024-01-02,Stationery,East,46.96,2,6,23.48
2024-01-02,Unknown,South,19.99,1,1,19.99
